province;red;green;blue;x;x
1;166;62;173;Yuanling;x
2;148;199;71;Northwestern Caribbean;x
3;52;132;0;Stralsund;x
4;181;134;64;Güstrow;x
5;96;0;236;Puno;x
6;95;0;232;Chuquiabo;x
7;180;130;255;Marienburg;x
8;36;152;128;Parma;x
9;164;154;192;Liguria;x
10;85;74;113;Sinaloa;x
11;44;81;143;Concho;x
12;163;150;64;Mantua;x
13;35;148;0;Verona;x
14;125;62;23;Pima;x
15;35;144;192;Ferrara;x
16;138;94;49;Suma;x
17;163;146;255;Padua;x
18;153;213;72;Yavapai;x
19;163;142;128;Modena;x
20;35;140;64;Reggio;x
21;232;109;57;Tepehuan;x
22;163;138;0;Bologna;x
23;34;136;255;Massa;x
24;157;169;10;Pomo;x
25;83;52;126;Acholi;x
26;162;134;192;Lucca;x
27;154;99;24;Salinan;x
28;34;128;0;Siena;x
29;162;126;255;Grosseto;x
30;161;122;128;Firenze;x
31;45;128;134;Miwok;x
32;211;50;79;Busoga;x
33;34;124;192;Pistoia;x
34;33;120;64;Arezzo;x
35;172;215;74;Coahuila;x
36;161;118;0;Ravenna;x
37;148;85;204;Tamaulipas;x
38;33;116;255;Forli;x
39;68;120;58;Chumash;x
40;161;114;192;Rimini;x
41;193;209;80;Guachichil;x
42;206;107;79;Canyon;x
43;162;130;64;Piombino;x
44;86;80;209;Zacatecas;x
45;34;132;128;Pisa;x
46;181;138;192;Schwerin;x
47;53;140;255;Lüneburg;x
48;194;156;114;Guaycura;x
49;181;142;0;Uelzen;x
50;204;220;88;Piro;x
51;53;144;64;Oldenburg;x
52;232;138;77;Navajo;x
53;103;111;205;Cochimi;x
54;169;203;105;Yaqui;x
55;53;136;128;Rostock;x
56;180;126;128;Danzig;x
57;52;128;192;Elbing;x
58;52;124;64;Tuchel;x
59;32;108;0;Perugia;x
60;0;221;0;Cauca;x
61;160;106;255;Spoleto;x
62;214;22;67;Etchu;x
63;160;102;128;Roma;x
64;82;32;32;Luba;x
65;14;47;148;Kai;x
66;32;104;192;Orvieto;x
67;161;110;64;Ancona;x
68;33;112;128;Urbino;x
69;39;182;139;Antioquía;x
70;173;211;18;Nipissing;x
71;29;60;64;Sassari;x
72;199;81;31;Algonquin;x
73;157;62;128;Oristano;x
74;195;74;79;Kordofan;x
75;157;66;255;Malta;x
76;88;151;61;Maracaibo;x
77;67;76;126;Tunjur;x
78;194;186;27;Biak Bay;x
79;29;64;192;Cagliari;x
80;130;43;187;Sault;x
81;30;80;64;Lucania;x
82;158;78;0;Cosenza;x
83;190;135;31;Vilian Strait;x
84;25;215;141;Magdalena;x
85;159;82;128;Apulia;x
86;195;78;173;Nyala;x
87;159;86;255;Salerno;x
88;186;54;147;Cartagena;x
89;159;90;64;Gaeta;x
90;180;163;41;Trobrian Islands;x
91;67;80;32;Chari;x
92;160;98;0;Pescara;x
93;65;176;45;Torres Strait;x
94;31;84;192;Bari;x
95;106;233;84;Mariquita;x
96;32;96;255;Abruzzi;x
97;195;82;79;Abeche;x
98;32;100;64;Velletri;x
99;186;159;54;Chiancon;x
100;159;94;192;Capua;x
101;31;92;128;Napoli;x
102;67;84;126;Waddai;x
103;31;88;0;Foggia;x
104;164;167;54;Great Barrier Reef;x
105;185;36;140;Gulf Of Carpentaria;x
106;30;76;255;Calabria;x
107;158;74;192;Messina;x
108;175;58;192;Trier;x
109;30;72;128;Palermo;x
110;159;200;21;Kolepom Bay;x
111;247;117;120;Sea Of Celebes;x
112;158;70;64;Catania;x
113;203;193;18;Arafuam Sea;x
114;30;68;0;Siracusa;x
115;152;122;192;Chaumont;x
116;183;21;134;Guantanamo;x
117;24;124;255;Vermandois;x
118;25;128;64;Picardie;x
119;99;172;32;Moron;x
120;30;99;174;Sancti Spiritus;x
121;156;42;128;Hainaut;x
122;174;61;181;Barinas;x
123;28;40;64;Artois;x
124;153;126;0;Reims;x
125;27;36;255;Vlaanderen;x
126;28;44;192;Cambray;x
127;167;53;37;Santa Clara;x
128;28;248;0;Liège;x
129;70;134;80;Turks Islands;x
130;56;147;204;Porto Seguro;x
131;164;24;195;Ilheus;x
132;14;108;128;Alicante;x
133;156;50;64;Namur;x
134;162;147;43;Havana;x
135;28;52;128;Bastogne;x
136;29;56;255;Corsica;x
137;157;58;0;Gallura;x
138;69;75;61;Stone;x
139;18;186;27;Santiago De Cuba;x
140;219;28;66;Luxemburg;x
141;130;139;65;Nueva Gerona;x
142;156;46;255;Rethel;x
143;155;38;0;Dunkerque;x
144;25;136;0;Metz;x
145;191;71;121;Caracas;x
146;27;156;0;Limbourg;x
147;192;184;12;Bahamas;x
148;145;60;60;Bermuda;x
149;86;92;126;Sofala;x
150;155;34;192;Brabant;x
151;27;32;128;Antwerpen;x
152;155;158;64;Loon;x
153;153;134;255;Lothringen;x
154;26;144;255;Utrecht;x
155;94;54;234;Carabobo;x
156;25;132;192;Barrois;x
157;153;130;128;Calais;x
158;86;88;32;Zimbabwe;x
159;24;120;128;Troyes;x
160;152;118;64;Nemours;x
161;156;174;30;Tlingit;x
162;24;116;0;Île-De-France;x
163;19;60;134;Ozark;x
164;152;114;255;Chartres;x
165;151;24;81;Guarico;x
166;24;112;192;Vendome;x
167;151;110;128;Caux;x
168;177;31;27;Yakutat;x
169;167;89;37;Aleut;x
170;154;142;192;Gelre;x
171;154;146;0;Holland;x
172;64;81;215;Cumana;x
173;214;94;31;Anzoategui;x
174;26;140;128;Oversticht;x
175;26;148;64;Zeeland;x
176;140;82;255;Murcia;x
177;140;78;128;Toledo;x
178;154;150;128;Breda;x
179;155;154;255;Aachen;x
180;26;152;192;Opper-Gelre;x
181;14;104;0;Granada;x
182;176;115;19;Tunja;x
183;142;102;255;Malaga;x
184;14;100;192;Gibraltar;x
185;141;98;128;Cadiz;x
186;13;96;64;Sevilla;x
187;141;94;0;Huelva;x
188;66;68;126;Barh El Gazal;x
189;214;86;173;Quiteve;x
190;18;96;117;Bogota;x
191;114;81;18;Guainia;x
192;66;72;32;Nuba;x
193;13;88;128;Córdoba;x
194;12;84;0;Puertoplano;x
195;84;60;126;Mombasa;x
196;12;80;192;Albacete;x
197;141;86;64;Jaén;x
198;194;70;173;Shilluk;x
199;153;138;64;Friesland;x
200;141;90;192;Merida;x
201;212;62;173;Zanzibar;x
202;244;216;15;Venezuelan Gulf;x
203;13;92;255;Badajoz;x
204;28;79;196;Marajo;x
205;14;246;141;Redencao;x
206;187;90;79;Demak;x
207;123;15;184;Para;x
208;146;158;128;Milhau;x
209;18;156;64;Rouergue;x
210;18;62;211;Alpercatas;x
211;147;138;156;Maranhao;x
212;145;154;0;Périgord;x
213;17;152;255;Armagnac;x
214;145;150;192;Toulouse;x
215;161;171;15;Tocantis;x
216;251;0;36;Rabaul;x
217;17;148;128;Narbonne;x
218;50;0;232;Solomon Islands;x
219;175;63;141;Piauí;x
220;241;114;71;Oeiras;x
